,bed,best,big,breakfast,check,choice,clean,comfortable,definitely,delivered,delivery,desk,did,dorsett,excellent,experience,food,friendly,good,great,guest,helpful,highly,just,like,make,manager,meal,need,nice,night,order,overall,provided,quality,really,recommend,request,room,service,small,spacious,staff,stayed,team,thank,time,view,water,window
guest,0.10869565217391308,0.09956709956709953,0.09111111111111114,0.12354312354312358,0.15592515592515588,0.09287257019438444,0.1479885057471264,0.12367491166077738,0.08185840707964598,0.10250569476082005,0.15495495495495493,0.15221987315010566,0.12387387387387383,0.14739229024943312,0.11257035647279545,0.1310924369747899,0.15285996055226825,0.11226252158894645,0.13974799541809846,0.13411078717201164,0.0,0.10299003322259137,0.10775862068965514,0.1391129032258065,0.1578014184397163,0.174573055028463,0.19999999999999996,0.14610389610389607,0.17826825127334467,0.11355932203389829,0.11738148984198649,0.11460674157303374,0.11479028697571747,0.12676056338028174,0.0898876404494382,0.13123844731977818,0.12395309882747063,0.12343096234309625,0.17213114754098358,0.18551042810098795,0.12756264236902048,0.08982035928143717,0.16048237476808902,0.12195121951219512,0.12147505422993488,0.1283524904214559,0.17728531855955676,0.13671274961597546,0.14553014553014554,0.12765957446808507
helpful,0.10869565217391308,0.09712230215827333,0.10223048327137552,0.09158878504672896,0.11714770797962648,0.1135531135531136,0.18865435356200533,0.17142857142857137,0.1172022684310019,0.10566037735849054,0.1430769230769231,0.12326388888888884,0.10885608856088558,0.11559633027522931,0.1449752883031301,0.14814814814814814,0.17576318223866794,0.22295081967213115,0.1872294372294372,0.18120805369127513,0.10299003322259137,0.0,0.10592459605026927,0.0988467874794069,0.1251862891207154,0.1300940438871473,0.10227272727272729,0.13802816901408455,0.15697674418604646,0.1623277182235835,0.06417112299465244,0.10128913443830567,0.11172161172161177,0.12203389830508471,0.06727272727272726,0.14423076923076927,0.15718562874251496,0.109375,0.2235208181154127,0.18674698795180722,0.06797853309481217,0.10769230769230764,0.3009615384615385,0.13719512195121952,0.1275045537340619,0.14975041597337768,0.16239316239316237,0.14870395634379263,0.10865874363327677,0.11660777385159016
highly,0.07773109243697474,0.1004784688995215,0.07524271844660191,0.13315926892950392,0.10675381263616557,0.10895883777239712,0.11259259259259258,0.11363636363636365,0.07560975609756093,0.09547738693467334,0.11466165413533835,0.08991228070175439,0.09200968523002417,0.11707317073170731,0.13541666666666663,0.128158844765343,0.1232464929859719,0.12030075187969924,0.12470308788598572,0.14420062695924762,0.10775862068965514,0.10592459605026927,0.0,0.07933194154488521,0.09800362976406529,0.12623274161735698,0.07999999999999996,0.11336717428087983,0.11187607573149738,0.10526315789473684,0.08759124087591241,0.0847457627118644,0.09330143540669855,0.11062906724511934,0.08436724565756826,0.10371819960861062,0.36622807017543857,0.1267281105990783,0.1397608370702541,0.1428571428571429,0.07710843373493981,0.1216216216216216,0.14899713467048714,0.0935779816513761,0.13285024154589375,0.10183299389002032,0.11854951185495122,0.13256955810147297,0.10549450549450545,0.09794988610478361
just,0.15573770491803274,0.10845986984815614,0.11764705882352944,0.12268518518518523,0.13849287169042768,0.10173160173160178,0.1264044943820225,0.12698412698412698,0.1106094808126411,0.12211981566820274,0.13780918727915192,0.11608961303462317,0.12556053811659196,0.08297872340425527,0.08957952468007313,0.11920529801324509,0.17670682730923692,0.12326388888888884,0.1618160651920838,0.12861271676300579,0.1391129032258065,0.0988467874794069,0.07933194154488521,0.0,0.18411552346570392,0.14128440366972472,0.11290322580645162,0.13439999999999996,0.17340067340067344,0.13597246127366613,0.12669683257918551,0.12895927601809953,0.08085106382978724,0.11485148514851484,0.08444444444444443,0.15601503759398494,0.11037891268533773,0.09311740890688258,0.17611940298507467,0.14,0.12925170068027214,0.09799999999999998,0.15363385464581414,0.10409556313993173,0.09704641350210974,0.11698113207547167,0.17980636237897651,0.1206636500754148,0.1565762004175365,0.1292372881355932
like,0.1684587813620072,0.12172284644194753,0.11281070745697896,0.13690476190476186,0.14920071047957373,0.11380597014925375,0.14987080103359174,0.14128728414442704,0.1026615969581749,0.10789980732177262,0.16746411483253587,0.15009041591320071,0.14119922630560933,0.1264150943396226,0.10500807754442654,0.16463414634146345,0.2292682926829268,0.1325115562403698,0.1894852135815991,0.13594771241830061,0.1578014184397163,0.1251862891207154,0.09800362976406529,0.18411552346570392,0.0,0.20748299319727892,0.12845849802371545,0.18424962852897475,0.1984732824427481,0.13850837138508376,0.1290944123314065,0.1532416502946955,0.11819887429643527,0.14010507880910683,0.12941176470588234,0.15245901639344261,0.14071856287425155,0.11942959001782527,0.2289512555391433,0.19004065040650409,0.14677103718199613,0.10207612456747406,0.19395017793594305,0.13777089783281737,0.11764705882352944,0.1643835616438356,0.22526041666666663,0.16549789621318378,0.1567567567567567,0.15427509293680297
make,0.12979890310786102,0.13682092555331993,0.09381237524950103,0.13953488372093026,0.17432950191570884,0.1305220883534136,0.13227513227513232,0.1785714285714286,0.09859154929577463,0.12008281573498969,0.17310924369747904,0.11481481481481481,0.15833333333333333,0.11706349206349209,0.12068965517241381,0.16987179487179482,0.1822565091610414,0.11269841269841274,0.1754189944134078,0.1629526462395543,0.174573055028463,0.1300940438871473,0.12623274161735698,0.14128440366972472,0.20748299319727892,0.0,0.12108559498956162,0.157814871016692,0.17711598746081503,0.129746835443038,0.11740890688259109,0.12857142857142856,0.11952191235059761,0.12181818181818183,0.10162601626016265,0.1655052264808362,0.13572542901716067,0.13575525812619504,0.20029455081001468,0.1661538461538462,0.11740890688259109,0.120817843866171,0.1912568306010929,0.11446740858505566,0.13214990138067062,0.1333333333333333,0.21256684491978606,0.17033773861967694,0.12177121771217714,0.1487279843444227
manager,0.08126410835214448,0.1122715404699739,0.09946236559139787,0.10803324099722988,0.14769975786924938,0.06801007556675065,0.1099071207430341,0.10139165009940354,0.09408602150537637,0.07486631016042777,0.09393346379647749,0.13480392156862742,0.13008130081300817,0.1876750700280112,0.07805907172995785,0.13001912045889097,0.08917835671342689,0.09551656920077978,0.09603841536614643,0.09779179810725547,0.19999999999999996,0.10227272727272729,0.07999999999999996,0.11290322580645162,0.12845849802371545,0.12108559498956162,0.0,0.09281961471103328,0.1270718232044199,0.09523809523809523,0.07832898172323755,0.07532467532467535,0.09870129870129873,0.08636363636363631,0.052219321148825104,0.12765957446808507,0.10299625468164797,0.08851674641148322,0.12274096385542166,0.14449541284403666,0.08970976253298157,0.07159353348729791,0.11545801526717558,0.084942084942085,0.1417322834645669,0.1316964285714286,0.1428571428571429,0.08580858085808585,0.09836065573770492,0.11720698254364093
meal,0.1908783783783784,0.11073253833049401,0.12190812720848054,0.12186379928315416,0.16086235489220568,0.15658362989323849,0.19822109275730626,0.1607142857142857,0.09515570934256057,0.18045112781954886,0.2114197530864198,0.15217391304347827,0.1441281138790036,0.11876075731497415,0.11329305135951662,0.15232722143864597,0.2398489140698773,0.14701601164483258,0.2489035087719298,0.14392059553349879,0.14610389610389607,0.13802816901408455,0.11336717428087983,0.13439999999999996,0.18424962852897475,0.157814871016692,0.09281961471103328,0.0,0.18028169014084505,0.16086956521739126,0.11518324607329844,0.15523465703971118,0.13461538461538458,0.1932203389830508,0.15201465201465203,0.15068493150684936,0.1398601398601399,0.14646464646464652,0.27468448403860435,0.21068249258160232,0.16393442622950816,0.13486842105263153,0.21834061135371174,0.12410841654778892,0.11279461279461278,0.12769230769230766,0.24874371859296485,0.19783197831978316,0.20450606585788567,0.17013888888888884
need,0.14356435643564358,0.1228070175438597,0.11449016100178888,0.1123188405797102,0.168081494057725,0.11538461538461542,0.17699115044247793,0.15488721804511274,0.11091234347048295,0.12,0.162406015037594,0.15726495726495726,0.1308243727598566,0.13120567375886527,0.1328125,0.1566091954022989,0.21361940298507465,0.14117647058823535,0.2384615384615385,0.16666666666666663,0.17826825127334467,0.15697674418604646,0.11187607573149738,0.17340067340067344,0.1984732824427481,0.17711598746081503,0.1270718232044199,0.18028169014084505,0.0,0.1535087719298246,0.11964285714285716,0.14389799635701273,0.1097560975609756,0.1495016611295681,0.08435852372583474,0.15887850467289721,0.17226277372262777,0.10761589403973515,0.26016260162601623,0.20837487537387833,0.15045871559633028,0.12437810945273631,0.22606382978723405,0.13450292397660824,0.11130136986301364,0.10244648318042815,0.22750000000000004,0.17837837837837833,0.1735395189003437,0.1453287197231834
nice,0.14886164623467601,0.1166666666666667,0.1290944123314065,0.07649253731343286,0.12435233160621761,0.1150278293135436,0.1809775429326288,0.16959999999999997,0.11238095238095236,0.08834586466165417,0.1572327044025157,0.097770154373928,0.09392265193370164,0.13182674199623357,0.10789049919484706,0.14115898959881135,0.234375,0.14043209876543206,0.23163841807909602,0.14868421052631575,0.11355932203389829,0.1623277182235835,0.10526315789473684,0.13597246127366613,0.13850837138508376,0.129746835443038,0.09523809523809523,0.16086956521739126,0.1535087719298246,0.0,0.08856088560885611,0.138728323699422,0.1070110701107011,0.12349914236706694,0.06813996316758753,0.16091954022988508,0.1501501501501501,0.12056737588652477,0.22918201915991154,0.18686868686868685,0.12810707456978965,0.09948542024013718,0.21589882565492324,0.10134128166915057,0.08703374777975137,0.125,0.17683686176836866,0.19627507163323787,0.13532513181019334,0.1405109489051095
